id,category,issue,keywords,platform,description,do,dont,code_good,code_bad,severity
1,Single Select,2-5 mutually exclusive options,radio group small few options,All,Show all options at once for fast scanning and one-tap selection,Use radio group with visible labels,Use dropdown that hides options behind a click,"<fieldset><legend>Plan</legend><label><input type=radio name=plan value=free>Free</label><label><input type=radio name=plan value=pro>Pro</label></fieldset>",<select><option>Free</option><option>Pro</option></select>,High
2,Single Select,2-3 options high visual weight,segmented control toggle pills tabs,All,When options are peers and switch a view or mode use a segmented control,Use segmented control with clear active state,Use radio buttons for view switching or tabs,"<div role=radiogroup><button aria-pressed=true>Day</button><button aria-pressed=false>Week</button><button aria-pressed=false>Month</button></div>",<input type=radio> chain for tabs/views,Medium
3,Single Select,5-15 options known to user,dropdown select medium list,All,Use native select or custom dropdown — scannable without overwhelming the form,Use select element with clear label,Use 15 radios in a vertical stack,"<label>Country<select>...15 options...</select></label>",<input type=radio> × 15 vertical list,High
4,Single Select,15-50 options,combobox autocomplete filterable dropdown,All,Use a filterable combobox so the user can type to narrow options,Use combobox with typeahead and keyboard arrows,Use a plain dropdown requiring scroll through 50 items,"<Combobox options={countries} onFilter={...} />",<select> with 50 options,High
5,Single Select,50+ options or unknown set,autocomplete search typeahead,All,Use async autocomplete with debounced search and virtualized results,Use async combobox with 250ms debounce and show results on type,Force user to scroll a dropdown of hundreds of items,"<Autocomplete source={searchCities} minChars={2} virtualized />",<select> with 500+ options,Critical
6,Single Select,hierarchical or nested options,cascader tree select hierarchy,All,Use cascader or tree-select for parent-child relationships (category>subcategory),Use cascader that shows path (Electronics > Phones > Android),Flatten hierarchy into one giant flat list,<Cascader options={categoryTree} />,<select> with indented labels flattened,High
7,Multi Select,2-5 options,checkbox group,All,Show all checkboxes so user sees every option and can multi-tap fast,Use checkbox group inside a fieldset with legend,Use multi-select dropdown that hides choices,"<fieldset><legend>Interests</legend><label><input type=checkbox>Design</label>...</fieldset>",<select multiple> with 4 options,High
8,Multi Select,5-20 options,multi-select chips token input,All,Use multi-select dropdown that shows selected items as removable chips,Use searchable multi-select with chip display of selections,Use 20 stacked checkboxes or select multiple (shift-click is hidden UX),<MultiSelect values={tags} renderSelected=chips searchable />,<select multiple size=10> hidden shift-click behavior,High
9,Multi Select,20-100 options from known set,transfer list dual listbox shuttle,All,Use a transfer list (two panels: available / selected) so user can batch-move,Use transfer list with search on both panels for 20+ multi-selects,Use 100 checkboxes or multi-select where selection overflows viewport,<TransferList available={users} selected={assigned} searchable />,<input type=checkbox> × 100 scrolling list,High
10,Multi Select,free-form tags or keywords,tag input token chips,All,Use tag input where user types and presses Enter/comma to add chip,Use tag input with backspace to delete last chip and duplicate prevention,Use comma-separated text field with no visual chips,<TagInput value={tags} onAdd={...} separator=Enter,Comma />,<input type=text> expecting CSV,Medium
